iter	AUC
0	0.8029511072
1	0.8163563314
2	0.8304290198
3	0.8382811244
4	0.8462336886
5	0.8514833629
6	0.8546205459
7	0.8594201056
8	0.8635836369
9	0.8663623289
10	0.8693658895
11	0.8721608521
12	0.8739233132
13	0.8766632389
14	0.8783378362
15	0.8795296869
16	0.8807598
17	0.8828410145
18	0.8854103761
19	0.8877499151
20	0.8896305807
21	0.8912071511
22	0.8926991259
23	0.8938364446
24	0.8946101971
25	0.8956539301
26	0.8969201379
27	0.8982595899
28	0.899883405
29	0.9008033134
30	0.901347753
31	0.9034043605
32	0.9045052656
33	0.9060781789
34	0.9067155828
35	0.9075412072
36	0.9084064407
37	0.9093446909
38	0.9101322511
39	0.9109429439
40	0.9117430005
41	0.9126283359
42	0.9136567368
43	0.9141310946
44	0.9145172878
45	0.9148236514
46	0.9154757205
47	0.9161641716
48	0.9166745568
49	0.917644815
50	0.918533584
51	0.9191419762
52	0.9195316388
53	0.9203716707
54	0.9210783042
55	0.9219632366
56	0.9230555324
57	0.9235800978
58	0.9241333111
59	0.9245154817
60	0.9249850407
61	0.9254719937
62	0.9258641703
63	0.9262834778
64	0.9266959969
65	0.9273768452
66	0.9277879324
67	0.9282627233
68	0.9288380163
69	0.9293596452
70	0.9297951664
71	0.9302869318
72	0.9308099542
73	0.9311596947
74	0.9314602934
75	0.9319277755
76	0.9323518591
77	0.9331529965
78	0.933910639
79	0.9341534683
80	0.9344708098
81	0.9350357853
82	0.9354895213
83	0.9359281316
84	0.9361653423
85	0.936568015
86	0.9368481952
87	0.9372399084
88	0.9375189092
89	0.9383095803
90	0.9388816659
91	0.9393661741
92	0.9396435828
93	0.9398202301
94	0.9401347363
95	0.9405737971
96	0.9408617444
97	0.9412075614
98	0.9416515844
99	0.9421301251
100	0.9423631651
101	0.9428482526
102	0.9433113065
103	0.9437345896
104	0.9439690128
105	0.9445046154
106	0.944709362
107	0.9449519806
108	0.9454484422
109	0.9459431388
110	0.9464336401
111	0.9465455798
112	0.9467995124
113	0.9468745664
114	0.9471756529
115	0.9474794414
116	0.9477883136
117	0.9478892558
118	0.9481688535
119	0.9483264801
120	0.948650103
121	0.9489822744
122	0.9492909899
123	0.9495598377
124	0.9497046428
125	0.9498519325
126	0.9500115013
127	0.9502190836
128	0.9505189574
129	0.9507734037
130	0.9509953122
131	0.9510478529
132	0.9512625325
133	0.9514552903
134	0.9515885769
135	0.9518087561
136	0.9520364424
137	0.9523551544
138	0.9526124536
139	0.9527065553
140	0.952946278
141	0.9532015048
142	0.9533760288
143	0.9535020719
144	0.953825008
145	0.9539480177
146	0.9541828923
147	0.9545083384
148	0.9546486649
149	0.9547803034
150	0.954931773
151	0.955080821
152	0.9553447656
153	0.9554541869
154	0.9556445318
155	0.9559074124
156	0.9560129339
157	0.9562306016
158	0.9563341684
159	0.9564887564
160	0.956623506
161	0.9568759773
162	0.9570382084
163	0.9572645375
164	0.9574798106
165	0.9576811523
166	0.95786362
167	0.9579426172
168	0.9581440748
169	0.9582877547
170	0.9585082695
171	0.9586929881
172	0.9588678888
173	0.958959035
174	0.9591226962
175	0.9592325343
176	0.9594484663
177	0.9596230007
178	0.9597600372
179	0.9599956283
180	0.9601111993
181	0.9602598023
182	0.9604034756
183	0.9606444409
184	0.9608775401
185	0.9609871379
186	0.9611186606
187	0.9612043261
188	0.9612737197
189	0.9613684375
190	0.9615020791
191	0.9616724906
192	0.9617343404
193	0.9619194416
194	0.9620521994
195	0.9621294836
196	0.9622618218
197	0.9623543622
198	0.9625366777
199	0.9626325374
200	0.9628417515
201	0.9629298784
202	0.9629515241
203	0.9630491564
204	0.963162991
205	0.9632515356
206	0.9634179394
207	0.9635301544
208	0.9635884408
209	0.9636644434
210	0.9637915338
211	0.9639619367
212	0.9641007625
213	0.9641787191
214	0.964320773
215	0.9644396265
216	0.9645523919
217	0.9646848207
218	0.9647721931
219	0.9650139202
220	0.9650975543
221	0.9652115261
222	0.9653426785
223	0.9654464012
224	0.9655091242
225	0.9657463474
226	0.9658378819
227	0.9660516122
228	0.9661241949
229	0.9661936023
230	0.9663860132
231	0.9665049937
232	0.9666055266
233	0.9666975233
234	0.9668147673
235	0.9669147323
236	0.966957419
237	0.9670170386
238	0.9671356298
239	0.9672626049
240	0.967340827
241	0.9674757311
242	0.9675939746
243	0.9676926559
244	0.9678069633
245	0.967854287
246	0.967966549
247	0.968053069
248	0.9681385489
249	0.9682398267
250	0.9683672898
251	0.9684916274
252	0.9686150806
253	0.9687689762
254	0.9688382177
255	0.9689781653
256	0.9690938224
257	0.9691905598
258	0.969275322
259	0.9694175253
260	0.9695234829
261	0.9696124439
262	0.9696906813
263	0.9697677891
264	0.9698505658
265	0.9699324939
266	0.970018623
267	0.9700942957
268	0.9701735636
269	0.9702190076
270	0.970297544
271	0.9703485837
272	0.9704398676
273	0.9704971845
274	0.9705559796
275	0.970661236
276	0.9706991941
277	0.9707823176
278	0.9708657766
279	0.9709620152
280	0.9710508179
281	0.9711002052
282	0.971126588
283	0.9711639087
284	0.9712318759
285	0.971279436
286	0.9713876637
287	0.9714884899
288	0.9716204347
289	0.9716716691
290	0.9717474563
291	0.971807508
292	0.9719202692
293	0.9720309906
294	0.9720829631
295	0.9721585678
296	0.9722470875
297	0.9723259149
298	0.9724804905
299	0.9725550919
300	0.9726172899
301	0.9726530633
302	0.9726975933
303	0.9727963608
304	0.9728283905
305	0.972896699
306	0.9729480832
307	0.9730059262
308	0.9730654034
309	0.9731309065
310	0.9731895486
311	0.9732340503
312	0.9732884356
313	0.973353949
314	0.973443639
315	0.9735125255
316	0.9735794978
317	0.9736328219
318	0.9737092326
319	0.9737336516
320	0.9737744592
321	0.9738100732
322	0.9738717487
323	0.9739516055
324	0.9739882314
325	0.9740447329
326	0.9741269463
327	0.9742534243
328	0.9743032616
329	0.9743922042
330	0.9744402832
331	0.9744878889
332	0.9745585246
333	0.9746052848
334	0.9746780254
335	0.974820798
336	0.9748520907
337	0.974954574
338	0.9749920269
339	0.9750588818
340	0.9750926409
341	0.9751885536
342	0.9752458193
343	0.9753162986
344	0.9753896862
345	0.9754310137
346	0.97550313
347	0.9755445487
348	0.9755899074
349	0.9756519314
350	0.9757415795
351	0.9758369572
352	0.9759169717
353	0.9759749192
354	0.9760266716
355	0.9760937972
356	0.9761552364
357	0.9762242993
358	0.9762662099
359	0.9763409582
360	0.9763896805
361	0.9764823221
362	0.9765291305
363	0.9766051685
364	0.9766886593
365	0.9767309845
366	0.9767713637
367	0.9768115689
368	0.9768617556
369	0.9768862066
370	0.9769284693
371	0.9769994477
372	0.9770307895
373	0.9770858299
374	0.97715104
375	0.977226954
376	0.9773157163
377	0.9773604451
378	0.9774188808
379	0.9775254605
380	0.9775792293
381	0.9776447336
382	0.9777152747
383	0.9777591866
384	0.9778439283
385	0.9778784008
386	0.9779370809
387	0.9779747726
388	0.978001981
389	0.9780653245
390	0.9780999922
391	0.978149385
392	0.9781921986
393	0.9782305447
394	0.9783195551
395	0.9783614098
396	0.9784091211
397	0.9784994095
398	0.9785430579
399	0.9785949191
